DPTO,MPIO,CODIGO_DE_LA_ARL,AÑO_DE_INFORME,MES_DE_INFORME,ACTIVEC,RELA_DEP,RELA_INDEP,PRESUACCIDETRASUCE,MUERTES_REPOR_AT,NUEVAPENSIOINVA_R_AT,NUEVAPENSIOINVA_R_EL,INCAPERMAPARCIAR_AT,INCAPERMAPARCIAR_EL
META,VILLAVICENCIO,1423,2024,05,5422001,14,0,0,0,0,0,0,0
N. DE SANTANDER,CUCUTA,1423,2024,05,1641101,0,0,0,0,0,0,0,0
BOLIVAR,CARTAGENA,1423,2024,05,1462001,6,0,0,0,0,0,0,0
BOYACA,RAQUIRA,1423,2024,05,3551101,1,0,0,0,0,0,0,0
VALLE DEL CAUCA,SAN PEDRO,1423,2024,05,3861001,0,1,0,0,0,0,0,0
CUNDINAMARCA,CAJICA,1423,2024,05,1477301,34,0,0,0,0,0,0,0
CUNDINAMARCA,GUADUAS,1423,2024,05,1692001,0,0,0,0,0,0,0,0
CUNDINAMARCA,LA MESA,1423,2024,05,1851301,0,0,0,0,0,0,0,0
ANTIOQUIA,BELLO,1423,2024,05,1471101,55,0,0,0,0,0,0,0
VALLE DEL CAUCA,PALMIRA,1423,2024,05,2721001,2,0,0,0,0,0,0,0
META,VILLAVICENCIO,1423,2024,05,5439004,147,0,0,0,0,0,0,0
BOYACA,BELEN,1423,2024,05,1949903,0,0,0,0,0,0,0,0
BOYACA,SOGAMOSO,1423,2024,05,3960101,12,1,0,0,0,0,0,0
CESAR,MANAURE,1423,2024,05,1949101,0,0,0,0,0,0,0,0
ANTIOQUIA,APARTADO,1423,2024,05,2139301,0,0,0,0,0,0,0,0
ANTIOQUIA,MEDELLIN,1423,2024,05,4432101,143,2,0,0,0,0,0,0
CUNDINAMARCA,GIRARDOT,1423,2024,05,3202301,2,0,0,0,0,0,0,0
TOLIMA,FLANDES,1423,2024,05,2012101,0,13,0,0,0,0,0,0
CESAR,VALLEDUPAR,1423,2024,05,5411201,119,0,0,0,0,0,0,0
NARIÑO,TUQUERRES,1423,2024,05,3475201,2,0,0,0,0,0,0,0
CAUCA,LA SIERRA,1423,2024,05,5072201,0,0,0,0,0,0,0,0
CALDAS,PACORA,1423,2024,05,2475201,6,0,0,0,0,0,0,0
SANTANDER,RIONEGRO,1423,2024,05,2015001,16,4,0,0,0,0,0,0
VALLE DEL CAUCA,CALI,1423,2024,05,4522902,1,0,0,0,0,0,0,0
TOLIMA,IBAGUE,1423,2024,05,3265101,0,0,0,0,0,0,0,0
META,VILLAVICENCIO,1423,2024,05,3274001,4,0,0,0,0,0,0,0
ANTIOQUIA,TURBO,1423,2024,05,1475501,31,0,0,0,0,0,0,0
ARAUCA,ARAUCA,1423,2024,05,5390001,10,0,0,0,0,0,0,0
META,VILLAVICENCIO,1423,2024,05,2032101,0,0,0,0,0,0,0,0
ARAUCA,ARAUCA,1423,2024,05,1952401,6,0,0,0,0,0,0,0
NARIÑO,PASTO,1423,2024,05,2016103,13,0,0,0,0,0,0,0
CHOCO,QUIBDO,1423,2024,05,3551101,4,0,0,0,0,0,0,0
ANTIOQUIA,VIGIA DEL FUERTE,1423,2024,05,5711001,11,6,0,0,0,0,0,0
N. DE SANTANDER,LOS PATIOS,1423,2024,05,2466301,26,0,0,0,0,0,0,0
N. DE SANTANDER,CUCUTA,1423,2024,05,3106101,23,0,0,0,0,0,0,0
ANTIOQUIA,JARDIN,1423,2024,05,2012301,1,0,0,0,0,0,0,0
CESAR,VALLEDUPAR,1423,2024,05,1799001,8,0,0,0,0,0,0,0
NARIÑO,IPIALES,1423,2024,05,2662101,4,0,0,0,0,0,0,0
CASANARE,YOPAL,1423,2024,05,2773005,29,0,0,0,0,0,0,0
ANTIOQUIA,COPACABANA,1423,2024,05,4492201,4,0,0,0,0,0,0,0
META,SAN MARTIN,1423,2024,05,1681001,0,0,0,0,0,0,0,0
VALLE DEL CAUCA,GINEBRA,1423,2024,05,4475201,2,0,0,0,0,0,0,0
CUNDINAMARCA,COGUA,1423,2024,05,1466401,0,0,0,0,0,0,0,0
CUNDINAMARCA,SASAIMA,1423,2024,05,2551301,0,0,0,0,0,0,0,0
SANTANDER,LEBRIJA,1423,2024,05,2466301,6,0,0,0,0,0,0,0
CAQUETA,FLORENCIA,1423,2024,05,1881001,0,5,0,0,0,0,0,0
SANTANDER,BUCARAMANGA,1423,2024,05,2843001,813,28,0,0,0,0,0,0
CUNDINAMARCA,VILLA DE SAN DIEGO DE UBATE,1423,2024,05,3104002,220,0,0,0,0,0,0,0
ATLANTICO,BARRANQUILLA,1423,2024,05,1475501,51,0,0,0,0,0,0,0
VALLE DEL CAUCA,BUENAVENTURA,1423,2024,05,2851101,332,66,0,0,0,0,0,0
CALDAS,MANIZALES,1423,2024,05,2652101,10,0,0,0,0,0,0,0
RISARALDA,BALBOA,1423,2024,05,1949101,3,0,0,0,0,0,0,0
META,GUAMAL,1423,2024,05,3432202,0,0,0,0,0,0,0,0
CUNDINAMARCA,FUNZA,1423,2024,05,3139201,38,0,0,0,0,0,0,0
BOYACA,MONGUI,1423,2024,05,1471101,3,0,0,0,0,0,0,0
NARIÑO,PASTO,1423,2024,05,1854301,103,61,0,0,0,0,0,0
SANTANDER,GIRON,1423,2024,05,2451101,83,0,0,0,0,0,0,0
BOLIVAR,MAGANGUE,1423,2024,05,1711001,0,0,0,0,0,0,0,0
BOYACA,AQUITANIA,1423,2024,05,1841501,2,0,0,0,0,0,0,0
CUNDINAMARCA,SASAIMA,1423,2024,05,1829902,0,6,0,0,0,0,0,0
CUNDINAMARCA,TOCANCIPA,1423,2024,05,1889001,1,0,0,0,0,0,0,0
CASANARE,MONTERREY,1423,2024,05,4429001,0,0,0,0,0,0,0,0
META,BARRANCA DE UPIA,1423,2024,05,3108401,0,0,0,0,0,0,0,0
CORDOBA,PUEBLO NUEVO,1423,2024,05,1841201,81,46,0,0,0,0,0,0
VALLE DEL CAUCA,CALI,1423,2024,05,4411101,1,0,0,0,0,0,0,0
META,PUERTO GAITAN,1423,2024,05,2551401,0,0,0,0,0,0,0,0
VALLE DEL CAUCA,EL CERRITO,1423,2024,05,2104001,0,0,0,0,0,0,0,0
AMAZONAS,LETICIA,1423,2024,05,5251101,0,0,0,0,0,0,0,0
NARIÑO,PASTO,1423,2024,05,1855101,412,19,0,0,0,0,0,0
PUTUMAYO,PUERTO CAICEDO,1423,2024,05,1949902,0,21,0,0,0,0,0,0
LA GUAJIRA,ALBANIA,1423,2024,05,4452001,12,7,0,0,0,0,0,0
SANTANDER,MACARAVITA,1423,2024,05,2851101,15,0,0,0,0,0,0,0
ANTIOQUIA,EL CARMEN DE VIBORAL,1423,2024,05,3360001,18,0,0,0,0,0,0,0
CUNDINAMARCA,CARMEN DE CARUPA,1423,2024,05,2012101,0,0,0,0,0,0,0,0
NARIÑO,CHACHAGsI,1423,2024,05,3931201,1,0,0,0,0,0,0,0
VALLE DEL CAUCA,ZARZAL,1423,2024,05,2619001,2,0,0,0,0,0,0,0
CASANARE,TAURAMENA,1423,2024,05,1474201,0,0,0,0,0,0,0,0
