DPTO,MPIO,CODIGO_DE_LA_ARL,AÑO_DE_INFORME,MES_DE_INFORME,ACTIVEC,RELA_DEP,RELA_INDEP,PRESUACCIDETRASUCE,MUERTES_REPOR_AT,NUEVAPENSIOINVA_R_AT,NUEVAPENSIOINVA_R_EL,INCAPERMAPARCIAR_AT,INCAPERMAPARCIAR_EL
CESAR,AGUSTIN CODAZZI,1423,2024,9,2551101,5,0,0,0,0,0,0,0
CUNDINAMARCA,MOSQUERA,1423,2024,9,3611002,8,0,0,0,0,0,0,0
BOYACA,RAQUIRA,1423,2024,9,5051001,335,0,1,1,1,0,0,0
CASANARE,YOPAL,1423,2024,9,4239502,0,0,0,0,0,0,0,0
VALLE DEL CAUCA,VERSALLES,1423,2024,9,1823001,1,2,0,0,0,0,0,0
MAGDALENA,PUEBLOVIEJO,1423,2024,9,3360001,0,2,0,0,0,0,0,0
NARIÑO,LA UNION,1423,2024,9,3473101,31,0,0,0,0,0,0,0
CUNDINAMARCA,VILLETA,1423,2024,9,1620201,2,0,0,0,0,0,0,0
BOYACA,PUERTO BOYACA,1423,2024,9,1702001,0,0,0,0,0,0,0,0
SANTANDER,PIEDECUESTA,1423,2024,9,1474101,1,0,0,0,0,0,0,0
CALDAS,RISARALDA,1423,2024,9,1949902,0,0,0,0,0,0,0,0
CUNDINAMARCA,GACHETA,1423,2024,9,1472301,0,2,0,0,0,0,0,0
META,VILLAVICENCIO,1423,2024,9,1920001,51,0,0,0,0,0,0,0
BOYACA,TUNJA,1423,2024,9,3266001,6,0,0,0,0,0,0,0
HUILA,RIVERA,1423,2024,9,1649201,12,0,0,0,0,0,0,0
PUTUMAYO,VALLE DEL GUAMUEZ,1423,2024,9,1465101,7,0,0,0,0,0,0,0
CUNDINAMARCA,COTA,1423,2024,9,5711001,83,6,0,0,0,0,0,0
BOGOTA,"BOGOTA, D.C.",1423,2024,9,1970001,27159,30,26,26,26,0,0,0
HUILA,SUAZA,1423,2024,9,4475901,2,0,0,0,0,0,0,0
HUILA,LA PLATA,1423,2024,9,2014501,3,0,0,0,0,0,0,0
N. DE SANTANDER,PAMPLONA,1423,2024,9,3452001,1,3,0,0,0,0,0,0
META,VILLAVICENCIO,1423,2024,9,1823001,386,528,2,2,2,0,0,0
SUCRE,GALERAS,1423,2024,9,5411201,0,0,0,0,0,0,0,0
CORDOBA,PUERTO LIBERTADOR,1423,2024,9,5432201,2,0,0,0,0,0,0,0
ANTIOQUIA,RIONEGRO,1423,2024,9,2472101,17,1,0,0,0,0,0,0
BOYACA,VILLA DE LEYVA,1423,2024,9,1466301,1,0,0,0,0,0,0,0
HUILA,PITALITO,1423,2024,9,2331201,20,0,0,0,0,0,0,0
CASANARE,YOPAL,1423,2024,9,3960101,16,0,0,0,0,0,0,0
ANTIOQUIA,BELLO,1423,2024,9,5439002,0,0,0,0,0,0,0,0
N. DE SANTANDER,TIBU,1423,2024,9,1471901,0,0,0,0,0,0,0,0
CALDAS,PACORA,1423,2024,9,1841201,31,66,0,0,0,0,0,0
ANTIOQUIA,EL CARMEN DE VIBORAL,1423,2024,9,1749001,8,0,0,0,0,0,0,0
VALLE DEL CAUCA,BUENAVENTURA,1423,2024,9,1702001,21,0,0,0,0,0,0,0
CUNDINAMARCA,SOACHA,1423,2024,9,1477201,3,0,0,0,0,0,0,0
CUNDINAMARCA,LA PALMA,1423,2024,9,3861001,0,4,0,0,0,0,0,0
HUILA,NEIVA,1423,2024,9,2181101,5,0,0,0,0,0,0,0
ANTIOQUIA,FREDONIA,1423,2024,9,2016102,0,0,0,0,0,0,0,0
CESAR,RIO DE ORO,1423,2024,9,1841501,1,1,0,0,0,0,0,0
LA GUAJIRA,FONSECA,1423,2024,9,2141004,1,1,0,0,0,0,0,0
ANTIOQUIA,YARUMAL,1423,2024,9,1477301,13,0,0,0,0,0,0,0
PUTUMAYO,VILLAGARZON,1423,2024,9,1474201,6,0,0,0,0,0,0,0
SANTANDER,ENCISO,1423,2024,9,5051001,0,0,0,0,0,0,0,0
CALDAS,ARANZAZU,1423,2024,9,1941101,7,0,0,0,0,0,0,0
CUNDINAMARCA,SUESCA,1423,2024,9,5251101,42,2,0,0,0,0,0,0
CAQUETA,FLORENCIA,1423,2024,9,1651301,0,0,0,0,0,0,0,0
LA GUAJIRA,BARRANCAS,1423,2024,9,3473101,15,0,0,0,0,0,0,0
CUNDINAMARCA,MOSQUERA,1423,2024,9,3311001,1,0,0,0,0,0,0,0
BOLIVAR,MAGANGUE,1423,2024,9,2014401,0,0,0,0,0,0,0,0
CUNDINAMARCA,GUADUAS,1423,2024,9,1471101,20,0,0,0,0,0,0,0
HUILA,HOBO,1423,2024,9,1469001,7,3,0,0,0,0,0,0
NARIÑO,PASTO,1423,2024,9,2169001,5,0,0,0,0,0,0,0
GUAVIARE,EL RETORNO,1423,2024,9,1472201,0,0,0,0,0,0,0,0
CUNDINAMARCA,CHOCONTA,1423,2024,9,1970001,23,0,0,0,0,0,0,0
CUNDINAMARCA,MACHETA,1423,2024,9,2472101,0,0,0,0,0,0,0,0
CUNDINAMARCA,VILLETA,1423,2024,9,2811001,5,0,0,0,0,0,0,0
NARIÑO,SAMANIEGO,1423,2024,9,4492201,0,0,0,0,0,0,0,0
CESAR,EL COPEY,1423,2024,9,5331201,2,0,0,0,0,0,0,0
ANTIOQUIA,TURBO,1423,2024,9,2773004,7,0,0,0,0,0,0,0
META,GUAMAL,1423,2024,9,4162002,3,0,0,0,0,0,0,0
CUNDINAMARCA,MOSQUERA,1423,2024,9,1841201,7,404,1,1,1,0,0,0
MAGDALENA,SANTA MARTA,1423,2024,9,1823001,200,696,2,2,2,0,0,0
CAUCA,PIENDAMO,1423,2024,9,1841201,95,123,0,0,0,0,0,0
LA GUAJIRA,RIOHACHA,1423,2024,9,2015001,12,2,1,1,1,0,0,0
ATLANTICO,SOLEDAD,1423,2024,9,5869201,0,0,0,0,0,0,0,0
SANTANDER,RIONEGRO,1423,2024,9,2014101,25,0,0,0,0,0,0,0
VALLE DEL CAUCA,CALI,1423,2024,9,5439002,13,2,0,0,0,0,0,0
BOYACA,BUSBANZA,1423,2024,9,2014301,0,0,0,0,0,0,0,0
NARIÑO,TUQUERRES,1423,2024,9,2011301,0,0,0,0,0,0,0,0
ATLANTICO,SOLEDAD,1423,2024,9,1475202,7,0,0,0,0,0,0,0
ATLANTICO,BARRANQUILLA,1423,2024,9,2012801,2,0,0,0,0,0,0,0
CUNDINAMARCA,TENJO,1423,2024,9,1469001,4,0,0,0,0,0,0,0
ANTIOQUIA,CIUDAD BOLIVAR,1423,2024,9,1462002,10,0,0,0,0,0,0,0
CESAR,EL PASO,1423,2024,9,2602001,0,0,0,0,0,0,0,0
META,VILLAVICENCIO,1423,2024,9,2466901,18,0,0,0,0,0,0,0
SANTANDER,BUCARAMANGA,1423,2024,9,4103002,12,0,0,0,0,0,0,0
RISARALDA,DOSQUEBRADAS,1423,2024,9,3251101,8,0,0,0,0,0,0,0
CASANARE,VILLANUEVA,1423,2024,9,3473101,27,1,0,0,0,0,0,0
BOYACA,SACHICA,1423,2024,9,2463201,2,0,0,0,0,0,0,0
TOLIMA,PURIFICACION,1423,2024,9,1649901,1,0,0,0,0,0,0,0
SUCRE,SINCELEJO,1423,2024,9,3251101,13,0,0,0,0,0,0,0
ATLANTICO,BARRANQUILLA,1423,2024,9,1732001,11,0,0,0,0,0,0,0
CUNDINAMARCA,ZIPAQUIRA,1423,2024,9,3960101,2,0,0,0,0,0,0,0
CESAR,VALLEDUPAR,1423,2024,9,1841401,70,161,1,1,1,0,0,0
CALDAS,PALESTINA,1423,2024,9,1970001,22,0,0,0,0,0,0,0
ANTIOQUIA,PEÐOL,1423,2024,9,1472401,0,0,0,0,0,0,0,0
ANTIOQUIA,FREDONIA,1423,2024,9,3360001,0,1,0,0,0,0,0,0
TOLIMA,IBAGUE,1423,2024,9,3104001,0,0,0,0,0,0,0,0
ANTIOQUIA,RIONEGRO,1423,2024,9,4492201,0,0,0,0,0,0,0,0
BOGOTA,"BOGOTA, D.C.",1423,2024,9,1649903,56,0,0,0,0,0,0,0
ANTIOQUIA,MEDELLIN,1423,2024,9,5051004,10,0,0,0,0,0,0,0
CASANARE,PAZ DE ARIPORO,1423,2024,9,2472301,1,1,0,0,0,0,0,0
